"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2012","Portugal","Less than 1 year","Males","Number","49,053",""
"2012","Portugal","Less than 1 year","Females","Number","46,650",""
"2012","Portugal","1 year","Males","Number","50,332",""
"2012","Portugal","1 year","Females","Number","49,187",""
"2012","Portugal","2 years","Males","Number","48,984",""
"2012","Portugal","2 years","Females","Number","47,101",""
"2012","Portugal","3 years","Males","Number","51,502",""
"2012","Portugal","3 years","Females","Number","48,779",""
"2012","Portugal","4 years","Males","Number","50,352",""
"2012","Portugal","4 years","Females","Number","48,009",""
"2012","Portugal","5 years","Males","Number","51,527",""
"2012","Portugal","5 years","Females","Number","49,548",""
"2012","Portugal","6 years","Males","Number","54,082",""
"2012","Portugal","6 years","Females","Number","51,001",""
"2012","Portugal","7 years","Males","Number","53,051",""
"2012","Portugal","7 years","Females","Number","50,603",""
"2012","Portugal","8 years","Males","Number","54,569",""
"2012","Portugal","8 years","Females","Number","51,803",""
"2012","Portugal","9 years","Males","Number","55,204",""
"2012","Portugal","9 years","Females","Number","52,139",""
"2012","Portugal","10 years","Males","Number","55,054",""
"2012","Portugal","10 years","Females","Number","51,922",""
"2012","Portugal","11 years","Males","Number","59,751",""
"2012","Portugal","11 years","Females","Number","56,720",""
"2012","Portugal","12 years","Males","Number","58,181",""
"2012","Portugal","12 years","Females","Number","55,933",""
"2012","Portugal","13 years","Males","Number","56,699",""
"2012","Portugal","13 years","Females","Number","54,296",""
"2012","Portugal","14 years","Males","Number","56,323",""
"2012","Portugal","14 years","Females","Number","54,545",""
"2012","Portugal","15 years","Males","Number","56,667",""
"2012","Portugal","15 years","Females","Number","53,493",""
"2012","Portugal","16 years","Males","Number","56,263",""
"2012","Portugal","16 years","Females","Number","53,249",""
"2012","Portugal","17 years","Males","Number","56,208",""
"2012","Portugal","17 years","Females","Number","53,410",""
"2012","Portugal","18 years","Males","Number","58,035",""
"2012","Portugal","18 years","Females","Number","56,256",""
"2012","Portugal","19 years","Males","Number","58,264",""
"2012","Portugal","19 years","Females","Number","57,045",""
"2012","Portugal","20 years","Males","Number","59,242",""
"2012","Portugal","20 years","Females","Number","57,527",""
"2012","Portugal","21 years","Males","Number","58,748",""
"2012","Portugal","21 years","Females","Number","57,683",""
"2012","Portugal","22 years","Males","Number","57,823",""
"2012","Portugal","22 years","Females","Number","57,023",""
"2012","Portugal","23 years","Males","Number","58,465",""
"2012","Portugal","23 years","Females","Number","57,850",""
"2012","Portugal","24 years","Males","Number","58,169",""
"2012","Portugal","24 years","Females","Number","57,991",""
"2012","Portugal","25 years","Males","Number","58,768",""
"2012","Portugal","25 years","Females","Number","59,031",""
"2012","Portugal","26 years","Males","Number","60,270",""
"2012","Portugal","26 years","Females","Number","60,623",""
"2012","Portugal","27 years","Males","Number","64,091",""
"2012","Portugal","27 years","Females","Number","65,038",""
"2012","Portugal","28 years","Males","Number","65,205",""
"2012","Portugal","28 years","Females","Number","66,423",""
"2012","Portugal","29 years","Males","Number","67,780",""
"2012","Portugal","29 years","Females","Number","70,266",""
"2012","Portugal","30 years","Males","Number","68,385",""
"2012","Portugal","30 years","Females","Number","71,351",""
"2012","Portugal","31 years","Males","Number","71,421",""
"2012","Portugal","31 years","Females","Number","74,928",""
"2012","Portugal","32 years","Males","Number","71,769",""
"2012","Portugal","32 years","Females","Number","75,061",""
"2012","Portugal","33 years","Males","Number","73,751",""
"2012","Portugal","33 years","Females","Number","77,879",""
"2012","Portugal","34 years","Males","Number","80,409",""
"2012","Portugal","34 years","Females","Number","84,177",""
"2012","Portugal","35 years","Males","Number","82,127",""
"2012","Portugal","35 years","Females","Number","86,636",""
"2012","Portugal","36 years","Males","Number","82,918",""
"2012","Portugal","36 years","Females","Number","86,524",""
"2012","Portugal","37 years","Males","Number","81,103",""
"2012","Portugal","37 years","Females","Number","86,023",""
"2012","Portugal","38 years","Males","Number","79,203",""
