sample_id	cheese_full_type	animal_origin	milk_treatment	cheese_classification	country	region	colection_year	clinical_source	clinical_freq
SRR1016596.fa	 cheese				USA	California	2013		
SRR10484526.fa	 cheese				USA	Iowa	2019		
SRR10484529.fa	 cheese				USA	Iowa	2019		
SRR10484557.fa	 cheese				USA	Iowa	2019		
SRR10484641.fa	 cheese				USA	Iowa	2019		
SRR10484646.fa	 cheese				USA	Iowa	2019		
SRR10484657.fa	 cheese				USA	Iowa	2019		
SRR10484705.fa	 cheese				USA	Iowa	2019		
SRR10489681.fa	 cheese				USA	Iowa	2019		
SRR1068558.fa	 cheese				USA	Pennsylvania	2012		
SRR1068561.fa	 ricotta cheese			semi-soft or soft	USA	Connecticut	No data		
SRR1068583.fa	 ricotta cheese			semi-soft or soft	USA	Connecticut	No data		
SRR10804323.fa	 raw milk cheese		raw		USA	New York	2019		
SRR10810367.fa	 salvadorian string cheese				USA	Florida	2009		
SRR10843674.fa	 cheese				USA	Pennsylvania	2019		
SRR11362440.fa	 sheeps milk cheese	sheep			Bulgaria		2008		
SRR1177313.fa	 sheeps milk cheese	sheep			Bulgaria		2008		
SRR1181539.fa	 fresh cheese curd				USA	Virginia	2014		
SRR1181535.fa	 cheese				USA	Maryland	2014		
SRR1181538.fa	 cheese				USA	Maryland	2014		
SRR1181556.fa	 cheese				USA	Maryland	2014		
SRR1181561.fa	 cheese				USA	Maryland	2014		
SRR1181568.fa	 cheese				USA	Maryland	2014		
SRR1182219.fa	 fresh cheese curd				USA	Virginia	2014		
SRR1182220.fa	 fresh cheese curd				USA	Virginia	2014		
SRR1182221.fa	 fresh cheese curd				USA	Virginia	2014		
SRR1182222.fa	 fresh cheese curd				USA	Virginia	2014		
SRR1182223.fa	 fresh cheese curd				USA	Virginia	2014		
SRR1182224.fa	 fresh cheese curd				USA	Virginia	2014		
SRR1182225.fa	 fresh cheese curd				USA	Virginia	2014		
SRR1182716.fa	 fresh cheese curd				USA	Virginia	2014		
SRR1187420.fa	 fresh cheese curd				USA	Virginia	2014		
SRR1187425.fa	 fresh cheese curd				USA	Virginia	2014		
SRR1187427.fa	 fresh cheese curd				USA	Virginia	2014		
SRR1187445.fa	 fresh cheese curd				USA	Virginia	2014		
SRR1187587.fa	 fresh cheese curd				USA	Virginia	2014		
SRR1187589.fa	 fresh cheese curd				USA	Virginia	2014		
SRR1187613.fa	 fresh cheese curd				USA	Virginia	2014		
SRR1187616.fa	 fresh cheese curd				USA	Virginia	2014		
SRR1198878.fa	 fresh round cheese			soft	USA	Washington	2014		
SRR1198952.fa	 aged hard cheese			hard	USA	Washington	2014		
SRR1200763.fa	 spanish style cheese				USA	New York	2012		
SRR12125022.fa	 raw milk cheese		raw		USA	New York	2020		
SRR12125023.fa	 raw milk cheese		raw		USA	New York	2020		
SRR12125094.fa	 raw milk cheese		raw		USA	New York	2020		
SRR12125095.fa	 raw milk cheese		raw		USA	New York	2020		
SRR12125804.fa	 raw milk cheese		raw		USA	New York	2020		
SRR1220730.fa	 cheddar cheese ball	cow		hard	USA	Minnesota	2014		
SRR1220820.fa	 cheddar cheese ball	cow		hard	USA	Minnesota	2014		
SRR12572868.fa	 cheese				USA		2020		
SRR1283973.fa	 cheese				No data		2012		
SRR1283975.fa	 cheese				No data		2012		
SRR13080043.fa	 cream cheese			soft	No data		2020		
SRR13486047.fa	 cheese				USA	New York	2020		
SRR13744893.fa	 cheese				USA	Connecticut	2021		
SRR13744900.fa	 cheese				USA	Connecticut	2021		
SRR1378347.fa	 cheese				USA	Connecticut	2021		
SRR1378351.fa	 fontina cheese	cow	raw	semi-soft	Italy		2014		
SRR1378352.fa	 fontina cheese	cow	raw	semi-soft	Italy		2014		
SRR1378353.fa	 fontina cheese	cow	raw	semi-soft	Italy		2014		
SRR1378358.fa	 fontina cheese	cow	raw	semi-soft	Italy		2014		
SRR1449928.fa	 fontina cheese	cow	raw	semi-soft	Italy		2014		
SRR1509605.fa	 ricotta cheese			semi-soft or soft	USA		1987		
SRR1509629.fa	 ricotta cheese			semi-soft or soft	USA		1987		
SRR1509634.fa	 ricotta cheese			semi-soft or soft	USA	New York	1987		
SRR1509635.fa	 mexican soft cheese			soft	USA		No data		
SRR1509665.fa	 mexican soft cheese			soft	USA		No data		
SRR1575054.fa	 cheese				USA	Oregon	2014		
SRR1597473.fa	 cheese				USA	Oregon	2014		
SRR1609994.fa	 white cheese				USA		1994		
SRR1610006.fa	 mexican-style soft cheese			soft	USA		1994		
SRR1610011.fa	 white cheese				USA	Washington	1994		
SRR1610013.fa	 r. salinas cheese				USA		1994		
SRR1610014.fa	 white cheese				USA		1994		
SRR1610015.fa	 white cheese				USA		1994		
SRR1610017.fa	 white cheese				USA		1994		
SRR1745606.fa	 soft cheese			soft	France		2014		
SRR1763800.fa	 soft cheese			soft	France		2014		
SRR1767818.fa	 cheese				USA	California	2014		
SRR1767827.fa	 cheese				USA	California	2014		
SRR1783158.fa	 cheese				USA	California	2014		
SRR1783164.fa	 cheese				USA	California	2014		
SRR1805602.fa	 cheese				USA	Washington	2010		
SRR1812795.fa	 aged raw milk cheese		raw		USA	New Hampshire	2015		
SRR1812797.fa	 aged raw milk cheese		raw		USA	New Hampshire	2015		
SRR1812798.fa	 aged raw milk cheese		raw		USA	New Hampshire	2015		
SRR1812875.fa	 aged raw milk cheese		raw		USA	New Hampshire	2015		
SRR1818017.fa	mold-ripened blue-veined cheese				USA	California	2001		
SRR1917075.fa	 cotija cheese	cow			Mexico		2003		
SRR1947009.fa	 soft white mexican cheese			soft	USA	Texas	2003		
SRR1980616.fa	 cheese				USA	Florida	2014		
SRR1980624.fa	 cheese				USA	Florida	2014		
SRR1982199.fa	 semi soft cheese			semi-soft	France		2013		
SRR2422721.fa	 queso fresco			soft	USA	New York	No data		
SRR2533762.fa	 cheese				USA	Florida	2013		
SRR2584342.fa	 fresh cheese curd				USA	Florida	2011		
SRR2584343.fa	 cheese				USA	Florida	2011		
SRR2584346.fa	 cheese				USA	Florida	2011		
SRR2585425.fa	 cheese				USA	California	2012		
SRR2924557.fa	 semi soft cheese			semi-soft	USA	Maryland	2013		
SRR2924558.fa	 semi soft cheese			semi-soft	USA	Maryland	2013		
SRR2924593.fa	 soft ripened cheese			soft	USA	Maryland	2013		
SRR2924594.fa	 soft ripened cheese			soft	USA	Maryland	2013		
SRR2924601.fa	 fresh cheese			soft	USA	Maryland	2013		
SRR2924604.fa	 soft ripened cheese			soft	USA	Maryland	2013		
SRR2962368.fa	 american curd cheese				USA	Florida	2015		
SRR3108926.fa	 ripened pasteurized milk semi-soft ricotta cheese		pasteurized	semi-soft	Canada		2011		
SRR3109060.fa	raw milk cheese		raw		Canada		2011		
SRR3112633.fa	pasteurized milk ripened semi-soft mozzarella (bocconcini)		pasteurized	semi-soft	Canada		2004		
SRR3113964.fa	 ripened pasteurized milk soft cream cheese		pasteurized	soft	Canada		2002		
SRR3173363.fa	 robiola pineta cheese			soft	Italy		2008		
SRR3173364.fa	 robiola pineta cheese			soft	Italy		2008		
SRR3173365.fa	 robiola pineta cheese			soft	Italy		2008		
SRR3173373.fa	 fresh cheese			soft	USA	New York	2009		
SRR3173374.fa	 cheese				Poland		2009		
SRR3173375.fa	 queso fresco				USA	New Jersey	2009		
SRR3173379.fa	 queso fresco			soft	USA	New Jersey	2009		
SRR3181837.fa	 blue cheese				USA		2011		
