Strain ID	ST-Type	abcZ	bglA	cat	dapE	dat	ldh	lhkA
SRR1016596	2	1	1	11	11	2	1	5
SRR10484526	1	3	1	1	1	3	1	3
SRR10484529	1	3	1	1	1	3	1	3
SRR10484557	554	2	1	9	1	3	5	5
SRR10484641	1	3	1	1	1	3	1	3
SRR10484646	1	3	1	1	1	3	1	3
SRR10484657	1	3	1	1	1	3	1	3
SRR10484705	1	3	1	1	1	3	1	3
SRR10489681	1	3	1	1	1	3	1	3
SRR1068558	101	7	15	15	8	6	14	9
SRR1068561	101	7	15	15	8	6	14	9
SRR1068583	101	7	15	15	8	6	14	9
SRR10804323	554	2	1	9	1	3	5	5
SRR10810367	155	7	10	16	7	5	2	1
SRR10843674	16	5	6	2	7	5	2	1
SRR11362440	193	7	14	37	6	1	27	1
SRR1177313	5	2	1	11	3	3	1	7
SRR1181535	5	2	1	11	3	3	1	7
SRR1181538	5	2	1	11	3	3	1	7
SRR1181539	5	2	1	11	3	3	1	7
SRR1181556	5	2	1	11	3	3	1	7
SRR1181561	5	2	1	11	3	3	1	7
SRR1181568	5	2	1	11	3	3	1	7
SRR1182219	5	2	1	11	3	3	1	7
SRR1182220	5	2	1	11	3	3	1	7
SRR1182221	5	2	1	11	3	3	1	7
SRR1182222	5	2	1	11	3	3	1	7
SRR1182223	5	2	1	11	3	3	1	7
SRR1182224	5	2	1	11	3	3	1	7
SRR1182225	5	2	1	11	3	3	1	7
SRR1182716	5	2	1	11	3	3	1	7
SRR1187420	5	2	1	11	3	3	1	7
SRR1187425	5	2	1	11	3	3	1	7
SRR1187427	5	2	1	11	3	3	1	7
SRR1187445	5	2	1	11	3	3	1	7
SRR1187587	5	2	1	11	3	3	1	7
SRR1187589	5	2	1	11	3	3	1	7
SRR1187613	5	2	1	11	3	3	1	7
SRR1187616	5	2	1	11	3	3	1	7
SRR1198878	5	2	1	11	3	3	1	7
SRR1198952	5	2	1	11	3	3	1	7
SRR1200763	5	2	1	11	3	3	1	7
SRR12125022	1	3	1	1	1	3	1	3
SRR12125023	570	5	5	8	18	1	7	1
SRR12125094	403	7	7	10	4	5	24	1
SRR12125095	222	21	6	15	8	6	2	14
SRR12125804	379	2	1	4	3	3	1	5
SRR1220730	155	7	10	16	7	5	2	1
SRR1220820	155	7	10	16	7	5	2	1
SRR12572868	219	1	2	9	1	2	5	3
SRR1283973	101	7	15	15	8	6	14	9
SRR1283975	101	7	15	15	8	6	14	9
SRR13080043	37	5	7	3	5	1	8	6
SRR13486047	1	3	1	1	1	3	1	3
SRR13744893	217	1	9	1	3	7	5	3
SRR13744900	217	1	9	1	3	7	5	3
SRR1378347	5	2	1	11	3	3	1	7
SRR1378351	5	2	1	11	3	3	1	7
SRR1378352	224	11	3	12	38	3	94	2
SRR1378353	5	2	1	11	3	3	1	7
SRR1378358	5	2	1	11	3	3	1	7
SRR1449928	1	3	1	1	1	3	1	3
SRR1509605	5	2	1	11	3	3	1	7
SRR1509629	5	2	1	11	3	3	1	7
SRR1509634	5	2	1	11	3	3	1	7
SRR1509635	1	3	1	1	1	3	1	3
SRR1509665	224	11	3	12	38	3	94	2
SRR1575054	1	3	1	1	1	3	1	3
SRR1597473	1	3	1	1	1	3	1	3
SRR1609994	1	3	1	1	1	3	1	3
SRR1610006	155	7	10	16	7	5	2	1
SRR1610011	101	7	15	15	8	6	14	9
SRR1610013	155	7	10	16	7	5	2	1
